Title,Location,Price,description,Links
Beautiful bachelor basement  apartment,City of Toronto,PleaseContact,"Large bachelor with high ceilings, separate entrance. Beautiful, quiet neighborhood Full bathroom and kitchen. Very quiet home near 401 and Shopping. Laundromat is four blocks away. Newly painted ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-bachelor-basement-apartment/1631939063
2 bedroom 2 washroom  basement,Mississauga / Peel Region,PleaseContact,"2bedroom 2washroom separate laundry kitchen living room break fast area side entry , note: looking for small family, or couple's or girls, text to me 6478801651",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/2-bedroom-2-washroom-basement/1631938298
Walkout basement apartment for Rent,Oshawa / Durham Region,"$1,600.00","Walkout 1 bed 1 bath basement apartment for Rent. No washer/dryer in the unit. All utilities, internet and cable, included in rent $1600/month pet friendly. House is on approx 10 acres between conlin ...",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/walkout-basement-apartment-for-rent/1631937554
Scarborough 2 Bedroom basement apartment,City of Toronto,"$2,150.00",2 Bedroom Basement Apt near UofT &Zoo (M1C 4J9) Newly built legal basement available for rent. Main intersection ( Morningside and Sheppard). Separate entrance. Separate Laundry 2 Bedroom 1 Bathroom ...,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/scarborough-2-bedroom-basement-apartment/1631934508
Basement available immediately,Mississauga / Peel Region,"$2,200.00","Three Bedroom basement apartmen has side entrance . Near intersection Kennedy and Bovaird Close to all the amenities , bus stop, shopping and schools. Unit is available 1 st of October and includes: ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-available-immediately/1628474646
Scarborough 2 Bedroom Basement Apt,City of Toronto,"$2,150.00",2 Bedroom Basement Apt near UofT &Zoo (M1C 4J9) Newly built legal basement available for rent. Main intersection ( Morningside and Sheppard). Separate entrance. Separate Laundry 2 Bedroom 1 Bathroom ...,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/scarborough-2-bedroom-basement-apt/1631929604
Leslie & Mulock  2 Bedroom Apt.  (Utilities + Internet included),Markham / York Region,"$1,900.00","Well-Maintained Lower Level Apartment With Separate Entrance. New Renovation And Upgrades, 2 Bedrooms And Spacious Living Room With Vinyl Floors. Bright Natural Light All Throughout Unit. Close To ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/leslie-mulock-2-bedroom-apt-utilities-internet-included/1631850696
2 Bedroom apartment in Brand new home  in whitby,Oshawa / Durham Region,"$2,300.00","Available October 1st 2022, 2 bedroom, one bath, very spacious with separate entrance Has own laundry, stainless steel appliances, furnished or not, very bright with pot lights and large windows ...",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/2-bedroom-apartment-in-brand-new-home-in-whitby/1631924179
2 Bedroom Spacious Basement for rent!,Mississauga / Peel Region,"$1,800.00","Super Spacious and Bright two bedroom basement apartment unit located in the sought after neighborhood of Churchill Meadows, walking distance to Rexall , Starbucks, Panagio, First Cuts and much more. ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/2-bedroom-spacious-basement-for-rent/1631910931
New 2 bedroom Legal basement,Barrie,$500.00,"New 2 bedroom Legal basement for rent in south Barrie by loon and big bay. Looking for International students or working professional on sharing basis.$500 per person on sharing basis, Full basement ...",https://www.kijiji.ca/v-apartments-condos/barrie/new-2-bedroom-legal-basement/1631910521
Chester Station Large 1 Bedroom Basement with Parking,City of Toronto,"$2,100.00",Large 1 bedroom apartment in a quiet detached home steps from the Danforth! Parking spot available in front of the home. Separate entrance to your apartment on the side of the driveway. The home is 3 ...,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/chester-station-large-1-bedroom-basement-with-parking/1631910173
1 bedroom basement apartment for rent,Oshawa / Durham Region,PleaseContact,"1 bedroom basement apartment; clean , separate entrance",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/1-bedroom-basement-apartment-for-rent/1631909241
2 BED 1 BATH FOR RENT,City of Toronto,"$2,500.00",SEPARATE ENTRANCE,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-1-bath-for-rent/1624808036
"Basement rental 2bd, 1 bath, 1 parking",City of Toronto,"$1,700.00","We are offering a renovated basement unit with 2 beds, one bath and one parking. This unit just has been recently renovated and ready for occupancy. There are many conveniences close to this, such as ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-rental-2bd-1-bath-1-parking/1631907591
Brand New 2 Bedroom Basement Apartment for Rent in Caledon,Mississauga / Peel Region,"$1,600.00","Newly Built, Never Lived in, 2 Bedroom Legal Basement for Rent from October 01, 2022, Located close to Kennedy and Mayfield intersection in Caledon, and in a beautiful and quiet neighborhood, Large ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/brand-new-2-bedroom-basement-apartment-for-rent-in-caledon/1631907269
"Walk out basement apartment for rent in Heartland, Mississauga",Mississauga / Peel Region,"$1,850.00","Walk out basement apartment for rental available in Heartland area, Mississauga (very close to Britannia Rd & Silken Laumann Way intersection). - Rent includes utilities (hydro, gas & water). - DOES ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/walk-out-basement-apartment-for-rent-in-heartland-mississauga/1631906183
"1 bed, 1 living room, Kitchen  & storage  Prestige Location bus",Markham / York Region,"$1,775.00","Richmond Hill Yonge /Hwy 7 Super Convinces place walk to bus terminal, transit system, GO bus and Train connected to York and Seneca and UFT. Malls and Shopping centers. Walk out bright light ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/1-bed-1-living-room-kitchen-storage-prestige-location-bus/1631904023
spacious walkout 1+1 br 1 wr 1 parking for rent,Barrie,"$1,880.00","Clean, Spacious And Bright 1+1 Bedroom Main Floor Apartment In Barrie's Quiet Ardagh Bluffs Area. This Apartment Features High Ceilings, Large Eat-In Kitchen With Tonnes Of Counter Space, Ensuite ...",https://www.kijiji.ca/v-apartments-condos/barrie/spacious-walkout-1-1-br-1-wr-1-parking-for-rent/1631902186
Ground floor Apartment with Seperate Enrance,City of Toronto,"$1,500.00","Clean and Bright apartment on ground level of detached home (walk out basement) located on the southeast corner of Pharmacy and Steels. Close to Highway 404 and 401, Shopping Centre, Super market, ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/ground-floor-apartment-with-seperate-enrance/1631901963
Basement Apartment for Rent - Castlemore/Airport,Mississauga / Peel Region,"$1,550.00","Basment Apartment for Rent - Brampton, L6P 3A9, Airport and Castlemore November 1st Move in date 1 Huge Bedroom, Huge Living Room, 1 Full bathroom, 1 Walking Closet Single or Couples Only Separate ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-apartment-for-rent-castlemore-airport/1631901593
1 Bedroom + Den Basement Rent Brampton(Creditview & Remembrance),Oakville / Halton Region,PleaseContact,"- Newly made spacious, well-lit unit with separate entrance available to move in right away. - Bedroom with closet. - Separate laundry - living room area. - Kitchen with fridge, stove and lots of ...",https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/1-bedroom-den-basement-rent-brampton-creditview-remembrance/1631896131
One bedroom apartment - Mississauga,Mississauga,"$1,600.00","Located in Brasilia Cir, Mississauga - Spacious one bedroom basement apartment - All utilities included - Close to plazas and bus stops - Separate entrance - Shared laundry Available October 1st ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/one-bedroom-apartment-mississauga/1631895391
3 bedroom basement seperate entrance,Mississauga / Peel Region,PleaseContact,"3 bedroom basemnt 1.5 washroom fully furnished Huge living area , seperate entrance . Seperate laundry",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/3-bedroom-basement-seperate-entrance/1631898774
One bedroom basement for rent!,Mississauga / Peel Region,"$1,600.00","Located in Brasilia Cir, Mississauga - Spacious one bedroom basement apartment - All utilities included - Close to plazas and bus stops - Separate entrance - Shared laundry Available November 1st ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/one-bedroom-basement-for-rent/1631894092
Basement apt for rent in East York,City of Toronto,PleaseContact,"Furnished basement apt for rent, private entrance and very clean. Prefer female whose quiet",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-apt-for-rent-in-east-york/1631893280
2 Bedroom Basement Rent,Markham / York Region,"$1,550.00","Brand new Walkout 2 Bedroom basement Rental ,utilities paying tenants 40%(Gas , Hydro, water) Perfect couples or working people , beautiful 2 bed, 1 bath basment in Keswick Potlights and vinyl floor ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/2-bedroom-basement-rent/1631887699
2 bedroom basement for rent,City of Toronto,"$1,800.00",Located near Jane/Dundas,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-basement-for-rent/1631887487
Walkout Basement for Rent,Mississauga / Peel Region,"$1,000.00","Studio-styled WALKOUT BASEMENT is available for RENT from October 1st, 2022. This open-concept basement apartment includes a separate washroom, kitchen, and entrance. This basement unit is also newly ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/walkout-basement-for-rent/1631886818
Basement Apartment for rent in Newmarket,Markham / York Region,PleaseContact,"One bedroom + den basement apartment for rent in coveted Stonehaven neighborhood in Newmarket (Leslie & Mulock) at the end of a quiet court. $1,600 a month + 1/3 utilities. - Separate entrance - Full ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/basement-apartment-for-rent-in-newmarket/1631884354
Basement for rent,Mississauga / Peel Region,PleaseContact,"Accomodation available. 2 room basement available for rent from october 1st. Looking for couple, professional or students. Seperate entrance Seperate laundry Wifi & utilities included 1 car parking ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-for-rent/1631880538
2 BEDROOMS BASEMENT FOR RENT IN AJAX,Oshawa / Durham Region,"$1,900.00","- Spacious basement with two large bedrooms, 1 bathroom, full kitchen appliances, a storage room and separate laundry. - A quiet and friendly neighbourhood and close to all amenities plus walking ...",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/2-bedrooms-basement-for-rent-in-ajax/1631572299
Clean and Spacious Legal 2 Bedroom Basement Apartment for Rent,Pickering,"$1,950.00",- $1950.00 (all utilities included) - Available as of September 9th/October 1st - 2 bedroom - main intersection Rosebank Road and Sheppard Ave - large open concept kitchen and family room with fire ...,https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/clean-and-spacious-legal-2-bedroom-basement-apartment-for-rent/1631607297
2 BEDROOM BASEMENT APPARTMENT with Private Entrance,Ajax,"$1,950.00",Spacious 2 Bedroom Basement Appartment with private entrance available for rent All utilities Included. Please text 6479614586 to schedule an appointment for viewing.,https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/2-bedroom-basement-appartment-with-private-entrance/1632595670
"2 bedroom basement for rent, Brampton(McLaughlin / Steeles Ave)",Mississauga / Peel Region,"$1,700.00","Move in Ready 2 bedroom basement Excellent location close to Shoppers world, Sheridan College Multiple bus stop reach in 5 minutes. ( Get bus stops in 5 minutes ......bus tops in Steeles Avenue + ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/2-bedroom-basement-for-rent-brampton-mclaughlin-steeles-ave/1632010194
2 Beds 1 Bath Basement Available  Immediately,Markham / York Region,"$2,200.00","A 2 bedroom 1 washroom walk-out basement backing onto creek in Richmond Hill is available NOW. Near highway 404 and close to grocery shops, Costco, and parks. Utility is to be shared with upstairs.",https://www.kijiji.ca/v-apartments-condos/markham-york-region/2-beds-1-bath-basement-available-immediately/1629962523
Furnished 2 bedroom 2 bath lower unit in home,Mississauga / Peel Region,"$3,000.00",I am renting the lower 2 levels of my home. Separate side entrance One large bedroom on main floor with office area. One small bedroom on main floor. Full bathroom with shower on main floor. Living ...,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/furnished-2-bedroom-2-bath-lower-unit-in-home/1631880227
$2200 + 30% UTILITIES - 2 BED 1 BATH BASEMENT FOR RENT,Markham / York Region,"$2,200.00","Available Immediately $2200 + 30% Utilities Newly renovated basement apartment for rent near Valleymede & 16th Avenue, Richmond Hill (Doncrest Neighborhood). 2 large bedrooms, 1 full bathroom, 1 ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/2200-30-utilities-2-bed-1-bath-basement-for-rent/1631872760
Studio basement for rent,Mississauga / Peel Region,"$1,300.00",Studio basement apartment for rent in Brampton with private kitchen (newly built) and 3 piece washroom (newly refurbished). Serious enquires only please. Kindly send a message if interested ...,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/studio-basement-for-rent/1631871296
WALK OUT BASEMENT - SINGLE WORKING PERSON - NON-SMOKER - NO PETS,Mississauga / Peel Region,"$1,400.00","WALK OUT BASEMENT - SINGLE WORKING PROFESSIONAL ONLY - NON-SMOKER - NO PETS THIS WALK OUT BASEMENT APARTMENT IS AVAILABLE FOR SINGLE OCCUPANCY ONLY – RENT PER MONTH: CAD 1,400.00 (INCLUDES UTILITIES, ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/walk-out-basement-single-working-person-non-smoker-no-pets/1631870543
Basement Apartment on Rent,Mississauga / Peel Region,"$1,600.00","Beautiful well built basement apartment on rent. Close to all amenities, like shopping malls, civic hospital, schools, park, and gym etc. Please contact for more details.",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-apartment-on-rent/1631868523
1 bed 1 bath industrial style lower level unit - Beaches,City of Toronto,"$1,700.00","Bright & Spacious one bedroom, one bathroom lower level unit within an owner occupied semi-detached in the Beaches (closest intersection is Queen and Woodbine). Unit has a washer and dryer. Note - ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1-bath-industrial-style-lower-level-unit-beaches/1631868399
2 bedroom legal basement apartment for lease starting October 1.,Oshawa / Durham Region,"$2,000.00",2 bedroom plus den legal basement apartment for lease in Eastdale Oshawa. Newly built 2 bedroom basement in brand new location Oshawa in Treasure hill Kingsview ridge community. With seperate ...,https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/2-bedroom-legal-basement-apartment-for-lease-starting-october-1/1631867868
Walkout Basement Apartment + 1 Parking,Markham / York Region,"$1,550.00","Spacious one Bedroom with 2 big closets, Dining, Living, Kitchen and outdoor personal Deck. Walking distance to Costco, Walmart, Canadian Tire, Home Depot, Upper Canada Mall and other big store. ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/walkout-basement-apartment-1-parking/1631859555
Studio basement available for 2 persons in Brampton,Mississauga / Peel Region,$900.00,Basement available for 2 persons available @900 Text 4379865034,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/studio-basement-available-for-2-persons-in-brampton/1631841454
Furnished basement for rent,Barrie,PleaseContact,"2 bedrooms kitchen dining area washroom laundry room separate entrance Required: - preferred long term, 3 month minimum. - proof of income, first and last rent and a photo ID. -please include in your ...",https://www.kijiji.ca/v-apartments-condos/barrie/furnished-basement-for-rent/1631832249
Legal 2-Bedroom Basement for Rent in Brampton,Mississauga / Peel Region,"$2,000.00",Newly renovated (legal) 2-Bedroom+ 1-washroom Basement Apartment available starting Sept. 10th. Ideal location near stores and schools Intersection: Tobram and Sandalwood Pkwy -2 bedroom with 1 full ...,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/legal-2-bedroom-basement-for-rent-in-brampton/1631826359
1 BEDROOM BASEMENT APARTMENT FOR RENT - NORTH AJAX,Oshawa / Durham Region,"$1,700.00",Brand New 1 Bedroom 1 Bathroom basement apartment for rent - located in a beautiful and safe North Ajax community (Salem and Gillett)! Unit Amenities: *1 Large Bedroom | 1 Bathroom *Upgraded kitchen ...,https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/1-bedroom-basement-apartment-for-rent-north-ajax/1631855082
2 BDR brand new Legal Basment for rent in Mississuaga(heartland),Mississauga / Peel Region,"$1,850.00",Brand new Legal basment 2nd dwelling unit with separate entrance on a big lot house. Looking for a decent (family only). Easy access to square 1 Erin mills & heartland(6-8 min). * On-going paint work ...,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/2-bdr-brand-new-legal-basment-for-rent-in-mississuaga-heartland/1631849038
2 Bedroom Basement Apartment,Mississauga / Peel Region,PleaseContact,"Legal 2 bedroom basement apartment in most prestigious neighborhood in Brampton, near Steeles and Financial drive. Separate entrance. Laundry. Bright. Big windows. Walk in closet. One parking. Lots ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/2-bedroom-basement-apartment/1631847183
1 Bedroom Basement Apartment Near Square one,Mississauga / Peel Region,"$1,400.00","This is a 1 bedroom basement apartment right off of Square One. There are many amenities near by, 7 minute walk to Square One, 4 minute drive to GO Station, many parks and restaurants nearby. The ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/1-bedroom-basement-apartment-near-square-one/1631845685
1Bed+Den Huge Luxury Basement Apartment (Miss Rd & Financial),Mississauga / Peel Region,"$1,800.00","1 Bed+Den Furnished Basement of corner detached house in Prime Area of Brampton (Miss Rd &Financial). Steps away from park ,school,shopping, Available immediatley, furisnhed with bed,dining ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/1bed-den-huge-luxury-basement-apartment-miss-rd-financial/1631844017
1 Bed + 1 Bath Basement Apt for Rent in Downtown Toronto,City of Toronto,"$1,499.00","1 Bedroom + 1 Bathroom Basement near Collge st and Bathurst St. for rent. Beautiful Victorian Budiling basement with a separate entrance and access to a Backyard. Refrigerator, Stove, Dishwasher, ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1-bath-basement-apt-for-rent-in-downtown-toronto/1631842049
Brand New Legal 2 Bedroom Basement for Rent,Mississauga / Peel Region,"$1,900.00","Brand New spacious Legal Basement Available immediately Area - Andretti Cres, Brampton Rent - 1900 (Price is excluding utilities but if you want including utilities for piece of mind then we can ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/brand-new-legal-2-bedroom-basement-for-rent/1631840953
2 bed/1 bath basement,Oakville / Halton Region,"$1,450.00","Basement available in a Muslim family house Suitable for single professionals or students (max 2 people, no families) Derry and Farmstead area Close to all amenities Full bathroom with tub No stove ...",https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/2-bed-1-bath-basement/1631838801
Newly Constructed Legal Basement Den for Rent,Oakville / Halton Region,PleaseContact,"Available from September 15, 2022. Located near Wanless Dr and Veterans Dr. DETAILS: Garage entrance NO KITCHEN 1 large room 1 full washroom Laundry room No pets No smoking Located in a new ...",https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/newly-constructed-legal-basement-den-for-rent/1631838146
Basement Rental in Markham,Markham / York Region,"$1,400.00","Available from 1st October. Big living space, bedroom with walk-in closet, self contained kitchen and clean washroom. Long term 11 month rental preferred but open to discuss shorter term. Utilities ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/basement-rental-in-markham/1631831106
Basement Unit - Separate Entrance - Near TTC Subway,City of Toronto,$900.00,"Available is a basement unit, own entrance, utilities included. First and Last. Please call the phone number, no emails/messages. Thank you!",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-unit-separate-entrance-near-ttc-subway/1631829978
Bachelor Pad for Rent,City of Toronto,$800.00,"Basement Apartment Bachelor for rent at Kennedy and Lawrence. Quiet self contained basement apartment with separate entrance and private bathroom. All appliances,utilities and wifi included. 5 minute ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-pad-for-rent/1631829799
2 Bedroom Basement for Rent,City of Toronto,"$1,975.00","Newly renovated bright large 2 bedroom,living room ,4 piece washroom located in a quite neighborhood. Walking distance to grocery store ( No frills),school,Shopping Mall, Park TTC Bus.Huge back ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-basement-for-rent/1631823832
Basement apartment,Mississauga / Peel Region,"$1,500.00",1 bedroom plus den at Mississauga road and financial drive. Includes water and basic cable 35% hydro 35% gas 35% internet,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-apartment/1631823015
Brand new legal 2BHk basement for rent from 1 October 2022,Mississauga / Peel Region,"$1,800.00","Legal basement Separate side entrance Larger window Very near to park, school, highway Sound proffing Quite neighborhood Looking for vegetarian, non smoker, no alcohol 1 driveway parking Brand new ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/brand-new-legal-2bhk-basement-for-rent-from-1-october-2022/1631818438
Three Bedroom Basement for Rent in Brampton,Mississauga / Peel Region,PleaseContact,1 bedroom available. Shared basement. 2 rooms have already been rented out. Only boys. Per person $425. 2 people can stay in one room room. Beautiful and clean Basement. Airport rd and Cottrelle ...,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/three-bedroom-basement-for-rent-in-brampton/1631799798
basement apartment for rent,Mississauga / Peel Region,"$1,350.00",one bedroom legal basement separate entrance,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-apartment-for-rent/1631792412
2 bedroom walkout legal apartment in brampton L7A,Mississauga / Peel Region,"$1,800.00","Spacious newly built legal apartment , close to bus route ; go transit and all amenities around, 2 bed rooms, kitchen,living, walk in closets, laundry ensuite, ample storage , available for young ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/2-bedroom-walkout-legal-apartment-in-brampton-l7a/1631790899
One-Bedroom Legal Basement for Rent in Pickering,Oshawa / Durham Region,"$1,800.00","Available from Oct 01,2022 Valley Farm Rd/ Finch Ave Minutes from Pickering Town Centre, Pickering GO Station, Walmart, Costco & every other Major Grocery Store. Kindly Contact to book a showing ...",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/one-bedroom-legal-basement-for-rent-in-pickering/1631787652
BRAMPTON 2 BEDROOM BASEMENT FOR RENT,Mississauga / Peel Region,"$1,800.00","New Beautiful Legal Modern Walk-up Basement - 9 foot ceilings with pot lights - 2 bedrooms with large windows with a walk-in closet - Modern kitchen with new refrigerator, stove and under-cabinet ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/brampton-2-bedroom-basement-for-rent/1631779956
Legal 2 bedroom basement apartment for rent in brampton,Mississauga / Peel Region,"$2,000.00",Legal 2 bedroom basement apartment,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/legal-2-bedroom-basement-apartment-for-rent-in-brampton/1631773681
Separate entrance Basement studio apartment for rent,City of Toronto,PleaseContact,Closer to Fairview mall donmils subway and Seneca college,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/separate-entrance-basement-studio-apartment-for-rent/1631765419
Basement for rent $1400,Mississauga / Peel Region,"$1,300.00",$1400 Legal bsmt 30%utilities Internet Parking one car Preferably for married couples If you see the ad the bsmt is available,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/basement-for-rent-1400/1631765319
2 bed basement apartment for rent,Mississauga / Peel Region,"$2,200.00","Spacious, finished legal basement with 2 bedrooms, complete kitchen and full washroom for rent. Seperate laundry and freshly painted. Complete unit, in the heart of mississauga. Close to heartland ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/2-bed-basement-apartment-for-rent/1631763155
Awesome Mid-town Bachelor Basement Apt,City of Toronto,"$1,500.00","Great location.Walking distance to Eglinton W. Subway, utilities included. Quiet and clean environment. Includes utilities except internet. 8 month term available. Full 8 months rent payable in ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/awesome-mid-town-bachelor-basement-apt/1631759684
AwesomenMid-town Bachelor Basement Apt,City of Toronto,"$1,500.00","Great location.Walking distance to Eglinton W. Subway, utilities included. Quiet and clean environment. Includes utilities except internet. 8 month term available. Full 8 months rent payable in ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/awesomenmid-town-bachelor-basement-apt/1631759681
1 Bedroom Basement Apartment - Etobicoke fully furnished,Mississauga / Peel Region,"$2,500.00","Central Etobicoke Burnhamthorpe and Renforth. Seeking a quiet tennant (max 2 adults) for our beautiful furnished open concept basement. This is a 1 bedroom with private entrance, ample storage and ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/1-bedroom-basement-apartment-etobicoke-fully-furnished/1631758437
2 bedroom basement available for rent,Markham / York Region,"$1,700.00","2 bedroom basement apartment in Markham available for rent from 15th of Oct (location: near Markham Road, Maj Mac intersection). 1 Km from home depot, food basics, and in front of the bus stop. Very ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/2-bedroom-basement-available-for-rent/1631757461
Room for rent,Markham / York Region,PleaseContact,Room is available for rent in a basement for girls.All utilities included,https://www.kijiji.ca/v-apartments-condos/markham-york-region/room-for-rent/1631756809
1 Bedroom Basement For Rent Mississauga $1675/month,Mississauga,"$1,675.00","FOR RENT: A Beautiful, newly renovated One Bedroom Basement Apartment With a Separate Entrance. Has own kitchen, own full washroom with shower, own living room area, and 1 Bedroom. It is 700 square ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/1-bedroom-basement-for-rent-mississauga-1675-month/1632190820
Spacious Annex 1BR/1BA with jacuzzi and backyard!,City of Toronto,"$1,775.00","Beautiful, large, light-filled and quiet unit only 2 minutes from Spadina Subway station, in tree-lined Annex neighborhood. Quiet, safe and clean.",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-annex-1br-1ba-with-jacuzzi-and-backyard/1632755371
BRAND NEW  2 BEDROOM 1 BATH BASEMENT APARTMENT IN SOUTH BARRIE,Barrie,"$1,900.00",This beautiful and totally new renovated legal basement apartment located in Barrie's highly sought after Innis-Shore Neighborhood is currently available for rent. This immaculate unit features two ...,https://www.kijiji.ca/v-apartments-condos/barrie/brand-new-2-bedroom-1-bath-basement-apartment-in-south-barrie/1620562673
3 Bedroom and 2 Washroom Legal Walkout Basement,Brampton,PleaseContact,# 3 Bedroom Apartment for rent in Brampton - call please 647-283-1013 # $2100 +30% Utility's. Location! Location! Location!!! #Luxurious New Legal basement with # separate Entrance. #Top Class Style ...,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/3-bedroom-and-2-washroom-legal-walkout-basement/1631232772
"New, Clean & Beautiful, Modern 3 Bed Markham Apartment for rent",Markham,"$2,500.00","Beautiful basement apartment, modern and very clean, located in prime location in Markham close to shopping centers, grocery stores and good schools. 5 mins away from highway 407, 15 mins away from ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/new-clean-beautiful-modern-3-bed-markham-apartment-for-rent/1631913246
Rent near U of T Mississauga and credit valley hospital,Mississauga / Peel Region,$850.00,2 Bedrooms at basement with a new kitchen in a beautiful house near University of Toronto Mississauga (4 min drive or 20 min walk) and credit valley hospital (7 min drive). Female students and female ...,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/rent-near-u-of-t-mississauga-and-credit-valley-hospital/1631753677
Very spacious double door walkout basement,Oshawa / Durham Region,PleaseContact,"Pictures coming soon 2 bedrooms, 1 bathroom, newly built kitchen with open concept seating/dining area. Separate walkout entrance, access to beautiful big backyard, washer & dryer, private & friendly ...",https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/very-spacious-double-door-walkout-basement/1631751517
Basement apartment for rent in Markham ALL INCLUSIVE,Markham / York Region,"$1,500.00","Spacious basement apartment with 1 bedroom with ensuite full bathroom, living room, full kitchen, separate entrance, 1 parking space. Looking to rent to ONE person occupancy only. Available starting ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/basement-apartment-for-rent-in-markham-all-inclusive/1631750459
Luxury 2 bedrooms basement,Mississauga / Peel Region,"$2,200.00","Luxury 2 bedrooms basement rental available after October 5 Located at Islington and Teston in the heart of Kleinburg. Looking for 6 month to 1 year lease rental Separate entrance, dishwasher, in ...",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/luxury-2-bedrooms-basement/1631749287
1 bedroom basement apartment from October 1,City of Toronto,"$1,450.00","Beautiful brand new, very clean non-smoking basement unit is available from October 1. Great location: St. Clair and Christie. Looking for single young professional. Separate entrance. Access to ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-basement-apartment-from-october-1/1631746831
